iter	Passed	Remaining
1478	31114	179258
1479	31164	179403
1480	31174	179322
1481	31209	179383
1482	31254	179498
1483	31291	179567
1484	31329	179645
1485	31353	179640
1486	31391	179713
1487	31427	179780
1488	31449	179760
1489	31484	179822
1490	31491	179721
1491	31520	179742
1492	31571	179890
1493	31603	179930
1494	31628	179931
1495	31660	179974
1496	31687	179985
1497	31711	179979
1498	31717	179876
1499	31748	179906
1500	31775	179917
1501	31806	179956
1502	31881	180239
1503	31941	180432
1504	31984	180534
1505	32043	180728
1506	32044	180592
1507	32073	180615
1508	32094	180590
1509	32117	180580
1510	32138	180557
1511	32141	180434
1512	32166	180432
1513	32188	180418
1514	32189	180284
1515	32211	180267
1516	32234	180254
1517	32256	180234
1518	32279	180223
1519	32300	180204
1520	32322	180187
1521	32341	180149
1522	32358	180107
1523	32379	180083
1524	32405	180087
1525	32431	180093
1526	32462	180128
1527	32488	180135
1528	32537	180264
1529	32566	180287
1530	32619	180440
1531	32649	180465
1532	32678	180490
1533	32703	180486
1534	32729	180492
1535	32769	180571
1536	32806	180639
1537	32835	180661
1538	32867	180698
1539	32892	180696
1540	32915	180682
1541	32921	180578
1542	32941	180546
1543	32965	180541
1544	33000	180597
1545	33022	180577
1546	33041	180544
1547	33059	180504
1548	33076	180457
1549	33094	180419
1550	33112	180378
1551	33129	180336
1552	33147	180291
1553	33149	180168
1554	33169	180138
1555	33187	180099
1556	33211	180094
1557	33240	180114
1558	33245	180001
1559	33269	179998
1560	33301	180032
1561	33302	179902
1562	33324	179886
1563	33351	179894
1564	33383	179929
1565	33414	179959
1566	33439	179958
1567	33467	179975
1568	33470	179852
1569	33497	179860
1570	33520	179848
1571	33543	179838
1572	33564	179814
1573	33585	179791
1574	33608	179780
1575	33638	179802
1576	33660	179783
1577	33681	179761
1578	33703	179743
1579	33725	179725
1580	33751	179732
1581	33782	179763
1582	33820	179825
1583	33855	179879
1584	33888	179920
1585	33928	179998
1586	33952	179988
1587	33978	179990
1588	34007	180010
1589	34033	180011
1590	34064	180045
1591	34093	180061
1592	34120	180068
1593	34146	180071
1594	34169	180057
1595	34192	180043
1596	34217	180043
1597	34242	180039
1598	34265	180025
1599	34266	179898
1600	34289	179886
1601	34298	179801
1602	34321	179785
1603	34342	179763
1604	34367	179757
1605	34387	179730
1606	34393	179626
1607	34413	179599
1608	34435	179582
1609	34466	179610
1610	34493	179619
1611	34516	179603
1612	34545	179623
1613	34571	179626
1614	34575	179512
1615	34599	179504
1616	34622	179492
1617	34645	179480
1618	34673	179492
1619	34697	179483
1620	34723	179487
1621	34746	179474
1622	34767	179449
1623	34790	179438
1624	34813	179424
1625	34835	179404
1626	34854	179369
1627	34875	179345
1628	34896	179321
1629	34918	179307
1630	34937	179273
1631	34961	179261
1632	34986	179257
1633	35006	179232
1634	35028	179211
1635	35049	179188
1636	35051	179068
1637	35074	179057
1638	35097	179042
1639	35120	179028
1640	35144	179020
1641	35168	179014
1642	35191	179000
1643	35216	178997
1644	35240	178988
1645	35266	178989
1646	35288	178972
1647	35311	178957
1648	35336	178951
1649	35360	178945
1650	35383	178929
1651	35408	178928
1652	35430	178909
1653	35467	178969
1654	35505	179026
1655	35529	179019
1656	35553	179014
1657	35581	179021
1658	35604	179007
1659	35630	179010
1660	35650	178984
1661	35681	179009
1662	35705	178998
1663	35727	178978
1664	35750	178969
1665	35770	178938
